system,dp,Temp,MSD_1ps,MSD_2ps,MSD_3ps,MSD_4ps,MSD_5ps,MSD_6ps,MSD_7ps,MSD_8ps,MSD_9ps,MSD_10ps
PDMS,100,185,0.6307735286675972,0.7782277462003753,0.8564422596215172,0.9175837449344328,0.9716754051028353,1.0105966833516598,1.043082282902106,1.0737752399919187,1.1032519466829394,1.1252069870818104
PDMS,100,190,0.6560137358331517,0.8148051838497418,0.8990009414022453,0.9593925149127271,1.0096779697784257,1.0532651549319743,1.0941620371646024,1.1295758874397916,1.1587945815524312,1.1827085008183391
PDMS,100,195,0.6722661545982218,0.84171655149643,0.9333611801273456,1.000232226696648,1.0498804581479384,1.0869360874585863,1.1227093549324714,1.1589775723292512,1.1863259666664259,1.2119225054360379
PDMS,100,200,0.7040635209466108,0.8802178442730378,0.9761067274179964,1.0411110945263595,1.098668466296787,1.1443211483471913,1.1797390809482793,1.2187368387632733,1.247401348622783,1.2702804873021054
PDMS,100,205,0.7335634231366726,0.9166655118746931,1.006993241221412,1.0755832582546925,1.132053803034244,1.1827325747717388,1.2240848342544612,1.2560706982775822,1.2878291907335266,1.3135277507282415
PDMS,100,210,0.7561332972136936,0.9517670988161828,1.0533755059775767,1.1292844119428327,1.1910857147390674,1.243184878024991,1.278104756463889,1.3121336219024633,1.3460010243753682,1.371776311150665
PDMS,100,215,0.7879776436684832,0.9863928084844659,1.090185726505236,1.1608483010153372,1.223093942193546,1.275780897566617,1.3154873335843764,1.3455573665961407,1.3740920218879835,1.3959083799065612
PDMS,100,220,0.814838120122784,1.0204933504074907,1.1305774646243232,1.208395404667256,1.2657869105280872,1.3199817125623206,1.36240924290896,1.3958152893113858,1.4252636618053034,1.4501019814492988
PDMS,100,225,0.8445532846121055,1.0604773257438875,1.1789227306107999,1.2627080231551981,1.319633964076699,1.3667939362083987,1.40361138504194,1.4383968808014211,1.472262978662749,1.4976046442331858
PDMS,100,230,0.8681646744892909,1.0990487131139668,1.2296298276963398,1.3140976593209563,1.3816831057356629,1.4249939700851815,1.4675982412824928,1.5032996239837324,1.5287243621526343,1.5566137248749217
PDMS,100,235,0.8940015020352874,1.1258902325064666,1.2549302628886752,1.3428726513280176,1.4074512541267599,1.455460695812072,1.5036060963277766,1.5424631305203138,1.5684196887249289,1.5912374641558515
