system,dp,r,g_r
PMTFPS,30,35.264087240574725,0.0
PMTFPS,30,35.764287059589975,0.0
PMTFPS,30,36.26448687860521,0.0
PMTFPS,30,36.76468669762046,0.0
PMTFPS,30,37.2648865166357,0.0
PMTFPS,30,37.76508633565095,0.0
PMTFPS,30,38.2652861546662,0.0
PMTFPS,30,38.765485973681436,0.0
PMTFPS,30,39.26568579269669,0.0
PMTFPS,30,39.76588561171192,0.0
PMTFPS,30,40.26608543072717,0.0
PMTFPS,30,40.76628524974241,10.15113751693024
PMTFPS,30,41.26648506875766,0.0
PMTFPS,30,41.7666848877729,0.0
PMTFPS,30,42.26688470678815,0.0
PMTFPS,30,42.7670845258034,0.0
PMTFPS,30,43.267284344818634,0.0
PMTFPS,30,43.767484163833885,0.0
PMTFPS,30,44.26768398284912,0.0
PMTFPS,30,44.76788380186437,0.0
PMTFPS,30,45.26808362087961,0.0
PMTFPS,30,45.76828343989486,0.0
PMTFPS,30,46.26848325891011,0.0
PMTFPS,30,46.768683077925346,0.0
PMTFPS,30,47.268882896940596,5.662770630991808
PMTFPS,30,47.76908271595583,0.0
PMTFPS,30,48.26928253497108,0.0
PMTFPS,30,48.76948235398632,0.0
PMTFPS,30,49.26968217300157,0.0
PMTFPS,30,49.769881992016806,0.0
PMTFPS,30,50.27008181103206,0.0
PMTFPS,30,50.77028163004731,0.0
PMTFPS,30,51.270481449062544,0.0
PMTFPS,30,51.770681268077794,0.0
PMTFPS,30,52.27088108709303,0.0
PMTFPS,30,52.77108090610828,18.225691218180653
PMTFPS,30,53.27128072512352,0.0
PMTFPS,30,53.77148054413877,0.0
PMTFPS,30,54.27168036315402,0.0
PMTFPS,30,54.771880182169255,0.0
PMTFPS,30,55.272080001184506,0.0
PMTFPS,30,55.77227982019974,0.0
PMTFPS,30,56.27247963921499,0.0
PMTFPS,30,56.77267945823023,0.0
PMTFPS,30,57.27287927724548,0.0
PMTFPS,30,57.773079096260716,15.163168134219648
PMTFPS,30,58.27327891527597,0.0
PMTFPS,30,58.77347873429121,0.0
PMTFPS,100,0.25002613934603607,0.0
PMTFPS,100,0.7500784180381082,0.0
PMTFPS,100,1.2501306967301802,0.0
PMTFPS,100,1.7501829754222524,0.0
PMTFPS,100,2.2502352541143247,0.0
PMTFPS,100,2.7502875328063965,0.0
PMTFPS,100,3.2503398114984687,0.0
PMTFPS,100,3.750392090190541,0.0
PMTFPS,100,4.250444368882613,0.0
PMTFPS,100,4.7504966475746855,0.0
PMTFPS,100,5.250548926266758,0.0
PMTFPS,100,5.75060120495883,0.0
PMTFPS,100,6.250653483650901,0.0
PMTFPS,100,6.750705762342974,0.0
PMTFPS,100,7.250758041035046,0.0
PMTFPS,100,7.750810319727118,0.0
PMTFPS,100,8.25086259841919,0.0
