system,dp,sample_idx,rg
PDMS,100,151,18.904647827148438
PDMS,100,152,43.65210723876953
PDMS,100,153,33.624061584472656
PDMS,100,154,27.87666130065918
PDMS,100,155,28.308395385742188
PDMS,100,156,25.371410369873047
PDMS,100,157,26.687061309814453
PDMS,100,158,30.216968536376953
PDMS,100,159,21.35137939453125
PDMS,100,160,20.91021728515625
PDMS,100,161,31.203786849975586
PDMS,100,162,22.14789581298828
PDMS,100,163,29.970016479492188
PDMS,100,164,16.45230484008789
PDMS,100,165,25.306859970092773
PDMS,100,166,38.091861724853516
PDMS,100,167,25.88196563720703
PDMS,100,168,19.76328468322754
PDMS,100,169,22.90070343017578
PDMS,100,170,25.1901798248291
PDMS,100,171,27.11904525756836
PDMS,100,172,28.792701721191406
PDMS,100,173,18.934091567993164
PDMS,100,174,24.209558486938477
PDMS,100,175,25.40523338317871
PDMS,100,176,19.529136657714844
PDMS,100,177,27.082359313964844
PDMS,100,178,30.4755916595459
PDMS,100,179,22.774375915527344
PDMS,100,180,25.55668067932129
PDMS,100,181,26.632856369018555
PDMS,100,182,39.9102668762207
PDMS,100,183,31.97296905517578
PDMS,100,184,21.991884231567383
PDMS,100,185,28.492412567138672
PDMS,100,186,24.75960350036621
PDMS,100,187,28.15757942199707
PDMS,100,188,21.442785263061523
PDMS,100,189,19.657588958740234
PDMS,100,190,31.71965980529785
PDMS,100,191,33.34075927734375
PDMS,100,192,22.395349502563477
PDMS,100,193,24.947265625
PDMS,100,194,20.19750213623047
PDMS,100,195,29.86214828491211
PDMS,100,196,25.04944610595703
PDMS,100,197,24.166778564453125
PDMS,100,198,26.94330406188965
PDMS,100,199,24.19879150390625
PDMS,100,200,30.51506996154785
PDMS,100,201,24.106647491455078
PDMS,100,202,29.83436393737793
PDMS,100,203,25.671588897705078
PDMS,100,204,30.592731475830078
PDMS,100,205,25.85964012145996
PDMS,100,206,23.99211311340332
PDMS,100,207,23.666648864746094
PDMS,100,208,28.359447479248047
PDMS,100,209,24.28922462463379
PMTFPS,10,0,6.785888671875
PMTFPS,10,1,7.8446550369262695
PMTFPS,10,2,5.8452043533325195
PMTFPS,10,3,5.574503421783447
PMTFPS,10,4,7.8098015785217285
PMTFPS,10,5,7.460934638977051
PMTFPS,10,6,7.40118408203125
PMTFPS,10,7,6.6815385818481445
PMTFPS,10,8,6.770694732666016
PMTFPS,10,9,6.725797176361084
PMTFPS,10,10,6.409817218780518
PMTFPS,10,11,7.404481887817383
PMTFPS,10,12,7.209332466125488
PMTFPS,10,13,7.12517786026001
PMTFPS,10,14,5.872913837432861
PMTFPS,10,15,6.7340826988220215
PMTFPS,10,16,7.038430690765381
PMTFPS,10,17,7.450594902038574
PMTFPS,10,18,6.898678779602051
PMTFPS,10,19,7.530178546905518
PMTFPS,10,20,6.294130802154541
PMTFPS,10,21,6.3045334815979
PMTFPS,10,22,6.693069934844971
PMTFPS,10,23,6.898038864135742
PMTFPS,10,24,6.181031703948975
PMTFPS,10,25,7.888062000274658
PMTFPS,10,26,7.454615592956543
PMTFPS,10,27,7.595739364624023
PMTFPS,10,28,5.620922088623047
PMTFPS,10,29,6.957518100738525
PMTFPS,10,30,7.173377990722656
PMTFPS,10,31,7.539917469024658
