system,dp,sample_idx,ree
PDMS,10,73,22.234773635864258
PDMS,10,74,19.335796356201172
PDMS,10,75,15.843999862670898
PDMS,10,76,14.751148223876953
PDMS,10,77,17.561630249023438
PDMS,10,78,9.933412551879883
PDMS,10,79,24.621620178222656
PDMS,10,80,20.580562591552734
PDMS,10,81,19.37520408630371
PDMS,10,82,20.552331924438477
PDMS,10,83,15.00285816192627
PDMS,10,84,16.44236183166504
PDMS,10,85,21.867834091186523
PDMS,10,86,17.812517166137695
PDMS,10,87,22.337448120117188
PDMS,10,88,16.443544387817383
PDMS,10,89,21.785429000854492
PDMS,10,90,17.160924911499023
PDMS,10,91,16.17994499206543
PDMS,10,92,11.35132122039795
PDMS,10,93,19.733539581298828
PDMS,10,94,19.655424118041992
PDMS,10,95,22.863344192504883
PDMS,10,96,20.49048614501953
PDMS,10,97,15.491388320922852
PDMS,10,98,18.137771606445312
PDMS,10,99,20.17281723022461
PDMS,10,100,24.534852981567383
PDMS,10,101,16.790956497192383
PDMS,10,102,19.066993713378906
PDMS,10,103,21.241838455200195
PDMS,10,104,11.52228832244873
PDMS,10,105,17.03824234008789
PDMS,10,106,17.265653610229492
PDMS,10,107,24.50624656677246
PDMS,10,108,17.600297927856445
PDMS,10,109,18.836435317993164
PDMS,10,110,13.51500129699707
PDMS,10,111,22.632051467895508
PDMS,10,112,24.712156295776367
PDMS,10,113,18.167499542236328
PDMS,10,114,16.78950309753418
PDMS,10,115,19.24724578857422
PDMS,10,116,15.759197235107422
PDMS,10,117,23.761680603027344
PDMS,10,118,25.124998092651367
PDMS,10,119,21.63547706604004
PDMS,10,120,15.429922103881836
PDMS,10,121,25.10596466064453
PDMS,10,122,23.287460327148438
PDMS,10,123,18.431278228759766
PDMS,10,124,12.326696395874023
PDMS,10,125,25.130733489990234
PDMS,10,126,20.61787223815918
PDMS,10,127,18.2497501373291
PDMS,10,128,16.233997344970703
PDMS,10,129,21.020122528076172
PDMS,10,130,17.503280639648438
PDMS,10,131,19.20189666748047
PDMS,10,132,19.47213363647461
PDMS,10,133,22.67575454711914
PDMS,10,134,23.28849983215332
PDMS,10,135,22.866235733032227
PDMS,10,136,24.461992263793945
PDMS,10,137,19.72020721435547
PDMS,10,138,18.582836151123047
PDMS,10,139,20.27080726623535
PDMS,10,140,13.404130935668945
PDMS,10,141,16.32391357421875
PDMS,10,142,10.59372329711914
PDMS,10,143,24.476743698120117
PDMS,10,144,23.16967010498047
PDMS,10,145,15.745906829833984
PDMS,10,146,21.682785034179688
PDMS,10,147,11.196786880493164
PDMS,10,148,22.41383934020996
PDMS,10,149,17.930768966674805
PDMS,10,150,15.98385238647461
PDMS,10,151,15.894915580749512
PDMS,10,152,13.69365119934082
PDMS,10,153,17.925729751586914
PDMS,10,154,11.610496520996094
PDMS,10,155,14.677733421325684
PDMS,10,156,13.516280174255371
PDMS,10,157,16.953369140625
PDMS,10,158,16.600500106811523
PDMS,10,159,17.093233108520508
PDMS,10,160,21.33106803894043
PDMS,10,161,24.96767234802246
PDMS,10,162,12.676462173461914
PDMS,10,163,14.122288703918457
PDMS,10,164,19.294931411743164
PDMS,10,165,13.783571243286133
PDMS,10,166,16.708860397338867
PDMS,10,167,24.820302963256836
PDMS,10,168,17.877460479736328
PDMS,10,169,12.196208000183105
PDMS,10,170,20.19868278503418
PDMS,10,171,20.184518814086914
PDMS,10,172,15.470559120178223
PDMS,10,173,17.542652130126953
PDMS,10,174,24.619150161743164
PDMS,10,175,15.805773735046387
PDMS,10,176,25.204479217529297
PDMS,10,177,21.622112274169922
PDMS,10,178,18.71989631652832
PDMS,10,179,21.019208908081055
PDMS,10,180,14.018731117248535
PDMS,10,181,22.047666549682617
PDMS,10,182,23.082164764404297
PDMS,10,183,13.919968605041504
PDMS,10,184,17.483993530273438
PDMS,10,185,25.492292404174805
PDMS,10,186,18.876094818115234
PDMS,10,187,18.231155395507812
PDMS,10,188,11.954455375671387
PDMS,10,189,21.051525115966797
PDMS,10,190,21.165592193603516
PDMS,10,191,21.45418930053711
PDMS,10,192,16.379343032836914
PDMS,10,193,22.806156158447266
PDMS,10,194,20.497663497924805
PDMS,10,195,11.706574440002441
PDMS,10,196,23.12468910217285
PDMS,10,197,23.049936294555664
PDMS,10,198,23.03363800048828
PDMS,10,199,13.823107719421387
PDMS,10,200,21.674970626831055
PDMS,10,201,10.003561019897461
PDMS,10,202,23.394990921020508
PDMS,10,203,19.711400985717773
PDMS,10,204,14.315547943115234
PDMS,10,205,10.944215774536133
PDMS,10,206,12.3846435546875
PDMS,10,207,17.383695602416992
PDMS,10,208,21.029251098632812
PDMS,10,209,24.65545082092285
PDMS,30,0,13.594781875610352
PDMS,30,1,18.660146713256836
PDMS,30,2,26.8112735748291
PDMS,30,3,55.880271911621094
PDMS,30,4,40.669734954833984
PDMS,30,5,63.29405975341797
PDMS,30,6,34.69833755493164
PDMS,30,7,33.05648422241211
PDMS,30,8,42.65815353393555
PDMS,30,9,17.847026824951172
PDMS,30,10,36.30373764038086
PDMS,30,11,37.073143005371094
PDMS,30,12,29.998689651489258
PDMS,30,13,18.344470977783203
PDMS,30,14,13.571588516235352
PDMS,30,15,27.183937072753906
PDMS,30,16,33.7150764465332
PDMS,30,17,44.97500228881836
PDMS,30,18,16.569934844970703
PDMS,30,19,17.87022590637207
PDMS,30,20,21.89242935180664
PDMS,30,21,20.11026954650879
PDMS,30,22,24.66399383544922
PDMS,30,23,56.41159439086914
PDMS,30,24,64.06990814208984
PDMS,30,25,32.209041595458984
PDMS,30,26,29.556991577148438
PDMS,30,27,51.29757308959961
PDMS,30,28,30.308231353759766
PDMS,30,29,38.58426284790039
PDMS,30,30,50.78388977050781
PDMS,30,31,23.41822052001953
PDMS,30,32,22.099647521972656
PDMS,30,33,12.06264591217041
PDMS,30,34,52.054710388183594
